28	4	Yêu cầu đặt gói dịch vụ	Gói "Gói Demo Chăm Sóc 3 Buổi" (3 ngày) - Lịch hẹn #5 đang chờ bạn xác nhận.	booking	t	2026-06-12 03:00:51.967242+00
29	4	Cập nhật thanh toán	Thanh toán cho lịch hẹn #5 hiện đã thanh toán.	payment	t	2026-06-12 03:00:52.128843+00
34	4	Khách hàng đánh giá buổi chăm sóc	Buổi 1/3 vừa được đánh giá 5/5 sao.	booking	t	2026-06-12 03:05:15.838029+00
35	55	Cập nhật hồ sơ xác minh	Tài liệu 'id_card_front' đã được duyệt.	verification	f	2026-06-12 14:33:02.367866+00
36	2	Cập nhật khiếu nại	Khiếu nại của lịch hẹn #3 hiện đã từ chối.	dispute	f	2026-06-12 14:33:51.358221+00
37	5	Cập nhật khiếu nại	Khiếu nại của lịch hẹn #3 hiện đã từ chối.	dispute	f	2026-06-12 14:33:51.51806+00
38	52	Bài viết có lượt thích mới	Lương Thị Thúy Huyên đã thích bài viết "Bé khóc không phải lúc nào cũng vì “khó tính” đâu mẹ nhé!".	community_like	f	2026-06-18 14:24:24.980711+00
\.


